Obrazac KP1042 Knjiga prometa | type: PDFTextField | val: "" | rect: {"x":774.84,"y":533.88,"width":33.360000000000014,"height":12.120000000000005}
fill_62.1.0 | type: PDFTextField | val: "" | rect: {"x":606.834,"y":198.9,"width":108.98400000000004,"height":15.349999999999994}
fill_62.1.1 | type: PDFTextField | val: "" | rect: {"x":717.865,"y":214.25,"width":92.61099999999999,"height":-15.349999999999994}
fill_67.0 | type: PDFTextField | val: "" | rect: {"x":495.803,"y":180.992,"width":108.98400000000004,"height":15.350000000000023}
fill_67.1.0 | type: PDFTextField | val: "" | rect: {"x":606.834,"y":180.992,"width":108.98400000000004,"height":15.350000000000023}
fill_67.1.1 | type: PDFTextField | val: "" | rect: {"x":717.865,"y":196.342,"width":92.61099999999999,"height":-15.350000000000023}
fill_72.0 | type: PDFTextField | val: "" | rect: {"x":495.803,"y":163.595,"width":108.98400000000004,"height":15.349999999999994}
fill_72.1.0 | type: PDFTextField | val: "" | rect: {"x":606.834,"y":163.595,"width":108.98400000000004,"height":15.349999999999994}
fill_72.1.1 | type: PDFTextField | val: "" | rect: {"x":717.865,"y":178.945,"width":92.61099999999999,"height":-15.349999999999994}
fill_77.0 | type: PDFTextField | val: "" | rect: {"x":495.803,"y":145.687,"width":108.98400000000004,"height":15.349999999999994}
fill_77.1.0 | type: PDFTextField | val: "" | rect: {"x":606.834,"y":145.687,"width":108.98400000000004,"height":15.349999999999994}
fill_77.1.1 | type: PDFTextField | val: "" | rect: {"x":717.865,"y":161.037,"width":92.61099999999999,"height":-15.349999999999994}
fill_82.0 | type: PDFTextField | val: "" | rect: {"x":495.803,"y":128.291,"width":108.98400000000004,"height":15.349999999999994}
fill_82.1.0 | type: PDFTextField | val: "" | rect: {"x":606.834,"y":128.291,"width":108.98400000000004,"height":15.349999999999994}
fill_82.1.1 | type: PDFTextField | val: "" | rect: {"x":717.865,"y":143.641,"width":92.61099999999999,"height":-15.349999999999994}
fill_87.0 | type: PDFTextField | val: "" | rect: {"x":495.803,"y":110.894,"width":108.98400000000004,"height":15.349999999999994}
fill_87.1.0 | type: PDFTextField | val: "" | rect: {"x":606.834,"y":110.894,"width":108.98400000000004,"height":15.349999999999994}
fill_87.1.1 | type: PDFTextField | val: "" | rect: {"x":717.865,"y":126.244,"width":92.61099999999999,"height":-15.349999999999994}
fill_92.0 | type: PDFTextField | val: "" | rect: {"x":495.803,"y":92.9857,"width":108.98400000000004,"height":15.350300000000004}
fill_92.1.0 | type: PDFTextField | val: "" | rect: {"x":606.834,"y":92.9857,"width":108.98400000000004,"height":15.350300000000004}
fill_92.1.1 | type: PDFTextField | val: "" | rect: {"x":717.865,"y":108.336,"width":92.61099999999999,"height":-15.350300000000004}
fill_93.0 | type: PDFTextField | val: "" | rect: {"x":495.803,"y":75.5892,"width":108.98400000000004,"height":15.349899999999991}
fill_93.1.0 | type: PDFTextField | val: "" | rect: {"x":606.834,"y":75.5892,"width":108.98400000000004,"height":15.349899999999991}
fill_93.1.1 | type: PDFTextField | val: "" | rect: {"x":717.865,"y":90.9391,"width":92.61099999999999,"height":-15.349899999999991}
